1 15731ab18fb548d3ba600766c3462d5f   001 0000042395734 0000002301201 0000040094533
4               20220427217063890aef4d8b8b7605ea768ade0e
1f51a8d0dfa3f44f687fc90d591d033fd   000000009150631500000023950580000089111257
235357673861a40b9b60b08865b8286280000001564234     2
24928e8b37b1c4471b92c5afd10295cc00000006794551     1
2d36f36f6381b437f9024de8785bea5420000008367476     2
2d075fd8739f74037b9c01c94f210e54d0000009175514     2
241610b07e4de4b7e823f16ad74335fbf0000000660200     1
20e97fb7f75f14f7db3d600c486b353b80000001769694     2
23119e8b5c8b34488ad733ad559b8cdad0000000456574     2
2c8700ba6590d48b2be4138600bb77b7d0000009462060     1
2cc3d28c318074e2780a1edd86886fdde0000000008171     2
241aff0a95928478186b468562ab062260000002964031     2
2e04fa2c10b1a4b5b80d39b021af44e990000000635192     1
2638ce68f9f0e445cbb588e84079e31cb0000001829263     2
2ed87454da3bd4043873e82ebe163926c0000005050833     1
2b35e8201f9364a1d9c86dda7112775b70000003920012     1
209779bfd3a844d53a714605f234b346a0000009056346     1
256b662005a5045d0bcecd0448de5ab070000009162881     2
24b2c7294bd55467aaba1ad83e5050c580000002789857     2
211bc12aac5414d7e899c8c5d83cb29f80000008020773     2
2cc05d36a4d604441bc541881bc90fccf0000007231652     1
2084cf71d4ede4749b1e5a8225866a32c0000004188715     2
204f2fb41fb2a4d26bfa2562552a932280000001563064     1
2c6542108fdd0404fabd666776f5abe920000004709483     1
2b7d0037e34a143d09b1caa35e45fe9fe0000003118442     1
2943e3f96ae20444fb4c43b9b8d3d9c9e0000008080684     2
29a74545f5240465aac4cfa21df82fc990000006035772     1
2d7e8ec9ffbe54ee48eecb7531ead692d0000008168961     2
2d8bad440f04a45b392647f104349c4a90000008248127     1
259347ed357654d388237d60fced5623e0000000970410     2
2a263906172644e0085ccd82363f25cf50000008500206     2
26759e5f65f4f4c26bec1535d1585e75c0000006850248     1
2ec48645e0c004399b7a79ded5ce100b20000000552375     1
28768b7e0eb464b0caf4c030214a1daac0000006948849     1
2243e36102bc84d7b9fb8a4747fb920d80000003214053     2
22d7db64e3c0a4cd59dff76fad632553a0000006839994     2
238b6a27b11f540b49de27c67e8a165e30000001614860     2
2b6fcbcd5846545268788cc12e80dc4b60000002823452     2
258d148d291504807b1d304e4a337ea190000007269201     2
2329907f704fd4887987eb2dc31b85a2d0000007559981     2
2dc99a5fde1044211a636269a4ce245ce0000003733169     1
2fe8664251b31488d8fbf1a911b4e6f7c0000009961245     2
27678bdd37de240b6ab2de43e48ca612e0000007151097     2
2760a530237014cda85a5bcc0f84229200000009942951     2
23d105259b35549a68e68cec577d27a440000002335584     1
24d6d996300fb409a912056b9e83e3cff0000004600356     1
26b28cbaeb5ee44cc9d1e9f40e84a44310000001610801     2
363f425669448496b92e07189623090cb0000000956724   0
37046f382356c43059c53e2de24a8f5840000000879207   1
3f7efabde9372469f867afe8921213d880000000324561   2
3ed74b39fd42141bc9f64b2ea5d4d1ee30000000234566   3
4               202204116c3a1dbbb49b40a48739fb224be0104b
12ee60c0feec849ea91b25ab47bc106d4   001000019472942900000016846260000193044803
263682f3cf7f142adab9ac4a3df177f3e0000000635396     2
255d626fe48a44344bab9c9441bfd81e30000000994314     1
27ced0ac4f13945b7a80bf04fa08c36560000005052736     1
29e64de1f3edc429ba1fe1082b04cc1130000004740493     2
247a46703f8ae45dcb1477d0d6a2a34050000004193458     1
2562be91a81df48229fd72ea8b455e1b80000009712644     2
213abf2c43d0e4e06b8734ac4804e42bb0000008929375     1
20ffa8962bee247ecbdb998db7e4918450000000150796     2
24a8b394b50d046f1a6c28548364a4ca40000005474549     2
2d24d3024249c4860ae71c188de5f59460000009851236     1
2c45414d4283f4c318b9ef058beb7181d0000001331464     1
281043332acb949b1b58e0467a9b4d8430000000894915     1
28300a76d660b4134ae5e9a67c90a5ec70000003771504     2
28245ff7eef7646cfb87293db2359ba000000008000703     1
20a2832700c254acc84055b562e8d9c160000001537586     2
25a9f31f62a274fc2a9fa8929242278a80000006226091     2
2a70ca12574284f7081ea1d30c410cdf30000000109727     2
26cb8562985054dc1aa8cbb82a9f10e5a0000001887937     1
25968c588cd1e46baadbb635f66bd6f880000006287515     1
20446a60561da44bc984d532c762331950000001875216     1
220e6ebfe2a6649f79125ccc73f5757a90000000562998     2
2bd9df7d9c62949dca6dbbc35ac1da1ae0000007218902     1
2fb3a886249464eb7922a84d778fcbbc20000004325129     1
20d8a549519574a2983f08e4d02cb59bd0000008356392     2
2cae27d4e897649edb6aad468d668ad720000002104260     2
2af0f9db8cce241a18f6f86886b71829f0000001315755     1
227062cf7abad4a43baf9d22aafe0fee90000000685696     2
276ae4cd677a84ce8a27eeb4d16bcb7620000006210248     1
200c4f627251e470c8f2803eb86d5b9930000001004584     1
2d8ef3870f9ae4547a675d799757a38950000001029653     1
2aa99d1101e2644ecb669d8cfc71c8e890000003096614     2
27e8154dd2a5d47d0a381693f0855b1290000007630262     1
23483d54036c3401cad3fcec47d8c53b40000003126590     1
224e8e29b1d6f47eba78b574a051874d80000002480267     1
245cf70d37fe24acc87c8c1b80c02ae0a0000000005676     1
2d9a7e8c520ec4f9e991078ccf88319180000008427961     1
28e2c10f1cdab4f1797d79ab1ae65ac110000006884323     2
203aeee289faa4e428efbdfcfcfde4fdf0000001448727     2
28483e4a4d7ff41048063dd1a41334f1d0000005328818     2
2e2ecf7510ea143b4a07efec4df40b1870000000903266     2
29ee450a1dba345fe9b9c2028796568d60000004130912     2
2a33400059966481983a9885e8c7e7acc0000007409164     1
27773f700b48849ffa1a13ac065a33a3a0000009907132     1
2681724c066ac4930a46d156022a2604a0000007421511     2
234213e7e2da54566b34a50a5a4ea5f6f0000002179821     1
2f5729999fbaa467b8b9e6e6115c119460000009661236     2
2603e3ca73e2e4c4a9490a4f19b0613710000000805594     1
2afd01b18b38e4712902e51a22c7823180000002388988     1
20777e256d49f422fbe729841600010560000004702449     2
2113989d1af72420ca26f18a2808b6efc0000003390419     1
2930960da67764653a4101d11521b83960000002164749     2
2da43c549ea3f4763bfc06abae5f17c690000004175852     1
2a70a781a853f4c5ebaf94e27d9a303a20000005720191     2
29172791af1ad4310833ec482e0ffb0b90000006626833     2
2e2524f479cc241c1927f558dd34d5c340000009601659     1
25765a7676b0a4dcfa407fb5a1eb889c90000008986039     1
2ec1107a43fe24375864a6bfd07b2c0440000006140049     2
2b1b0d3afdfc04eec8b5e9e085af8db540000003798312     2
2af989d64923940b296f9e3218881689f0000007443605     1
2e382298483634745ad6479b2551f63440000000373138     2
22b4239a4892347088660f47be3718aed0000003881805     2
202a292f9c1b04ff4b76b89245ef497f10000001236762     2
2cf160cee219e49ff9df0f2ed275595050000008795962     2
2060290129f4a45158298419e0d554d230000000742364     1
2cf517f4e5dd149c19142b8c33875d74b0000008001074     2
20f40f6744b8648a48f4e0fdceef3d2200000008023479     2
22c4fb4bd743c492893c446372fce8cfc0000003040317     1
2b71bd7d7372140ea9deda65d3f7bff830000009501198     1
20880373706e349208184442a6baeb13e0000006549563     2
27b4b3b7d78884295b2e7112ba749d3630000001961757     1
29527823ab62b4532a12d5c9c1ede67d70000001496369     1
2fa1b2c150815482b953c1a8f6e8709eb0000001683501     2
23daed286e37c424cbf832bfe102a19c50000005789152     1
2def7de1f8f2542a1b7db37d3862fbb200000009027476     1
2591fd36914b2486788fc5baa750a12a20000008407426     2
2825554e991d445df8f74192c49d9c95f0000006992395     2
235997bb5bbf4433da9a45bda04d9709f0000002891042     1
23fb6c935d496495fb39eeb5d1ba4f71d0000000513002     2
23c9fae0c6ebc4d6da28ea08433d0be680000003487882     1
27c203d1f5c1b4aa99a84186860769c1e0000006234810     2
22f5f1499669c4b63a4c58c10859416a30000000902602     2
2b8579560e7794a8983f24a8e9d725b500000005470361     1
2bf4b90e64e0a4b5b939706b4a0e8c7080000009951682     2
2280adae43e1243229cc609fd89d525260000007990251     2
29fec1aeae15043fbbb3795c470fb681f0000002959342     1
2bc0c8453907843e6b70b99cac2bb0e0b0000000602742     2
25276bf5afc5045859f190ffc501dc6df0000000197677     2
210926437155a4109bd08e59c03d94c8e0000007731510     2
3f0c860770fe0452a969920fb0839136e0000000264875   0
31c117180ac684a118989db312dbc95f30000000958326   1
31e044f6f23c541478946469b15994fe90000000461425   2
4               202204140296b1dc167a469da029515e78cb9e2c
169a905ed6e7d407d95bd6717edb2c159   001000016459488900000004695750000164125314
25810c1105bb241ab967470ceb185708c0000004360542     2
2460903d60b95495ab8c756167fc1797e0000004273969     2
2d4846e745ede4cf5b933ae17404c3afb0000007814362     1
2325eee4e11a14649bf7b2193f6babcb40000002235782     1
27369d3af24064fa097347478dd54b1740000009295563     1
2fd18192284014e4f83eff0f70f27782f0000006384740     2
242043fdf92134621a12bbb1bf86afa730000000136258     2
216b82d21e9af452ab3d1c85af5a2c7d80000003744698     2
2dc956d4b61454520b3e5bb1140c446af0000000217256     2
228cf4e66fa114d1c8aae91236c103f1a0000003587941     2
26d3535ac63b64770bec6c6b62ae97ab10000005086385     1
22625d1c010134db8806d46e29af044e40000008715403     2
2f7345e6bf3fe479a9ac3d370d99986b00000009374190     2
2a98d22d206e3449b9ad2ef3f9773d4ac0000008327119     1
2f2e770de963349999909f08710300b410000007182603     2
2e061b7606d9048f4a885c7970097ad250000001655077     1
29fcd0f552b6d424a95d96bbfa6a872550000005112192     2
2568dcb4e4a3347a38c75f669fc5597f80000004395606     1
283baa10599554676ac728beb846075b00000001961927     1
233a46d29e29b466bbc0ddcd56c473ff50000000927191     1
2b38c0923a3e346db92957d3a62dd830b0000000169627     2
2e9bd852ca3e64fbfb3d3d7cc4d83e0710000007622037     2
23c8fc0e7346b490898e10e08dfb4a8b30000006599425     2
2e2093b98797240729d1cf948e18feaa80000006160862     2
24b533267d42d4cb491252080fe327a480000002765665     2
2b81452040caf43d2b90de4d5a81529f50000002828220     2
27e9c082aaef94d52b28702fc8df356190000002213689     2
27756db22368f4294970ab9d5958140d20000000362348     2
2d5e022f82d834099b03fee0d948c90dc0000005116611     1
20ca56324b6da401e83295e16b0fce2fb0000002936090     2
24dbd210ba55b491ca5baa835bf61cd760000003237733     1
2b38a01b6f5e845adba37f92d273b31450000002323929     2
2181350786cc24ba58c331d6e080feb7d0000005485214     1
2c6a636cac1154653a4e692f7eb0def100000001014025     2
254e5ebc27b754e11a9618d97d37233540000007643334     2
2ac3fc432f5724d0f8a7b722be07f75660000008649668     2
221ab4c1ce80045e58c3de52545d02a690000009212187     1
2ae0fa0bb23f44130aa534b452e17f3990000004663457     2
2592a8ccff2574cab921c306e10297cbf0000000136371     2
2b438386793c74547a941e6bc119c7b2d0000002865853     2
237b417174a514e7b901934ce4a9243a70000008773935     1
207ed265d439a4d608d3ad695b3e0c1ab0000006699434     1
233f7f95203644954b299b438ae9b32800000002946446     2
2d491347c024641ebb7c3f688a7326abd0000002366394     1
241d024651d57404f9c70250b1a8bcfb10000003742435     1
23350be10a99c4d72ad9aff2f2f0115df0000003575449     1
23cf20376b51d429385b8ba0924f13f9c0000002345961     1
2e81d8192b4544fdf8b06bc9c0848ffaa0000004989313     2
24a08191e071c4ba59c4ad51dd361f7bc0000003106528     2
2b5212e9a20024181a540a6b9742b183e0000006934571     2
24554d8f67414414da5023645407efc550000009564414     2
22f42b6aa22324169a01a25d4390883eb0000008264657     1
2b152bffb71bc46d091a5397345a265b60000003730422     2
21d51a7c4e5ed4ea29c8a13c3581842380000004726904     2
2ba75a60ff80c48d3afe62c36a80b5d420000005140403     1
247a3edc2158244aeaf14e4f1e65f64210000007269279     2
214a1ae92a5bd42bba98b168717d1f5df0000007729474     2
22b46e019e16c459cab69b6b872ecc8040000005381530     1
234db180f9d564795b42fdb4725a75b890000005722829     2
20d616f5884bc4f579f60c78b98bd253b0000001288788     2
2219a135c9cdf4413a97d2a7f9a89c1940000001723994     2
2aa42425e95ac4c83be12f6275116fdcc0000008014060     2
2b77e896471234562a0448f4866fc2f5e0000007741368     2
2c0a708e9a4d04b989f1036996b31085b0000005898521     1
2eac8f82b1d7b47199ccb93f96805c0650000000498446     1
217e9aff3c34f4dadb92039619d74e2fc0000003582257     1
2e2ecc5257f2142638a5b5724c9149efb0000004597417     1
2918365cf33b84a29860a783196d15d570000006075326     2
2f6bf265224664d83a2014ae82633c08d0000005154536     1
2bf640da232484fffb23ce5b54ab9d6b90000004371792     1
22578fc444b304524af9b3ef2ee01076a0000000753962     1
211479a348c06437bb9d49220216c65260000008927723     1
28f711d79428b42ffadc3a4cb8320bc9e0000000022630     1
238d94a5048ba43f29f29ad944b56e0b20000004499840     2
25cd4ee141565486e9b7c64ecdb3f9eee0000002950468     1
2fa2c9ef590254fa3b4fba277caf81fd30000004368164     1
27024d3d6c6c048178ff27fbf2556dc820000006595772     1
28ee7cdf9a6e74120ba2a00cb16ebb2320000005832246     1
289e8f2e058c841e89924d3d0ff8ab8e10000000694562     2
2843d3c680f3a4b0d93ec08d36ea51dc00000005942104     2
3939997cad2c14e44b78d10839f65fbcc0000000011896   0
3b92af1e2460f4aabacf3c80fb7a2306c0000000398311   1
36655c5535eda4565b5f0133d0a7feaa70000000059368   2
4               202204196390188dccd7463684f1239332a69aa6
16aa955309ff4433c815f415680cb9ce5   001000010093999900000003910470000100548952
2d20e5c3c7e7a451ca20ae178164eccfc0000001456828     1
2c0554c40cd44408780efbb497c3c48400000002542954     1
209b3c4836d5047e39bea36872a6049350000001518638     2
293257a929e6c4351a239aa5b759a8a4c0000006259147     1
2c565ec6357894270ad0cb913f9084f390000001073835     1
2b1dd3cfd7cb04c8785c8ede6d561d6b90000006774025     1
29162e210bffc4b1f94650d7c708095630000005772176     2
2fb26a13b941d416f93ea3ae4f6b10ec10000008447458     2
27385761d84bd4530a23cb366a8519f8c0000006699203     2
254a5a1670ca64b49aa841dd336ac41ca0000009946454     2
26f830765a0a64d8699e80612ed0b46310000001815948     1
2f3dacacea31b4f2cbffc9cee27b35c9f0000005778544     1
20a0edbe66eca4e978a9ba6cad71f2c6b0000003546945     2
21f172b6589da42b2bc48894a1d410d390000002462960     2
2c3f0cc53f9534e30b1cbe08d3828f6290000006432969     1
2db17e3392c4a4f60b322edaac85c06090000006174954     1
20b09ff2661f74225a5c797e2907b0dd30000008804793     2
2d427fcf1c622469f81a3b1aa923eb3ee0000009561019     2
295a9df564657498f9c751cd353905af20000009440229     1
257ee89195e0a49f4938f383ac420680b0000007554576     2
259ac1d2fcd684a27bdb2beda424d94960000006455737     1
2ac66c8e1a8344876a3ee8b6d2f8c9c330000006155614     1
2938b83057cc94869b01dd5552b1ce47d0000004571622     1
2bc8502afeec54bd1ba9a3f88a088508c0000007438595     1
254901a40e1c3442b8bb27bedb1ac5e3f0000008577327     1
291fc7bd5071e4f77a5457d15b0a489770000009841389     2
294d2a5f091134379b982a47a079768cf0000004770542     2
26283aac15692443b854718b8fbd08f7d0000003123668     1
232b772251c574ebe9bda4bafd1bf21d20000008946632     1
23f2cab90a46a4e50ab4f70c010b353ec0000000641251     1
2424a0f22c71347118decf846b84879b60000007280120     1
372543b7ef29f4c67a5d4a2c47f6848590000000153929   0
3dd1d365b649a4b238dbcb9c01542fbea0000000237118   1
4               20220426f05675cfa3f64c199fe444156fde10d6
1d54bf5e8d5c34ddfb23e65dc933d9117   001000017393396100000020062960000171927665
2aee10070c662484a8b7abbda922565490000000635908     1
2ded66971d34840df9652741fcef189280000006199316     1
27605e2bd9c0547a3bb2bdfd8d98570270000001646630     2
29b84dde9fb9442d6bad3bae0f66e79d20000001335510     1
2769ec5399766426ab97816f6975800ec0000007646877     2
29f478a3f47a74e3096fbac60bb1538900000007659657     2
2201279e12200481598eb8f2a3c6d855b0000003723840     1
256aa66ae221d4aba9ff76603786d6c960000006467922     2
2616d897ac0944682b34607562ef3ee7d0000008736120     2
2cf045d7fd626469c97c324477cbabea80000005938800     1
219d0fd919c7643e2984c443d55105af10000005994897     1
2329affe0fbc9483ba4614a3e16c3a6c00000003592572     2
2bc977a33e5084a11be2433299df928db0000008240452     2
216035865bb5a46c596225376231670710000004391013     2
29d4aaac39bb945d1baafa6442f24c4fe0000004488480     1
264857427540345b58d37ae32775bb59f0000009961752     2
2783e1dd604244dbb98ebd146c88d685b0000004984229     1
27b9ffea510db47b8a41c7f2e091e20de0000007948750     1
2e6db67c167cc4afabbb88465680d4b4f0000007247166     1
29d3b3c4ee78a408e8593221345b444f90000002868494     2
2b5fde1e764ce4516bf46a3e847b0c9560000004072312     2
2045a1b3edb2d45fbb6bc0b34c077c1890000000582958     2
2c70dcb1851754e0186863d79e1dd032f0000007132514     2
268af1cf6e8e0450987953eb71a90e5720000004070332     2
2a75ccff76cc64cff8d30fefa17a7ba170000006171613     1
2dbb97728284b4cc89469c864d83065a60000002167224     2
23895e8f985a1414e98d3c88f7bd1b2df0000008499180     2
2845678bacbd1439a9c1af234e2cff3f60000002966034     1
28326927b072b4df3b84676ffc33e303c0000001042986     1
2e0ef9f2996ed4db5b201658a2752a8970000001400631     1
26b3cbce283a8401f8dfb9331d36e957f0000005846789     2
29c1592bd1c5b4ea1ae2e9cad8b6ab1b30000008268266     1
2000c1ff22eeb4bceae8afd24150824d40000004527773     1
2791deceee61f474598926d1b8f20f5c40000006143561     2
26441493203464eb79c70c9bb2f3d991b0000003010173     1
2d3ce3a8db1f74bb8a07a238c924934f00000004158253     2
2f055ebed4bac42af9794112bde36307b0000000899031     2
260669f4e0a3d42c3ab116c6e6ec372e00000008429650     1
269f97df212584930a281f43cada694e10000002718861     2
2d5f84df4e8224c23999778c717800b6a0000000621186     2
22e0c1b770afd48ffb286cd6ddafcbcea0000000266957     2
22a7ef3eebf9b45cab720a78d30aa72c80000001903060     1
245eb488b29a8493da0d8a7ac8f7d534e0000004655294     1
2de632ac53d864f2bb3a61ca1e4177e7e0000002165203     1
2de9fbc9165a84b12bd9030b969c7cdc00000006894806     2
2b5f2a1d09eae4e5e91cc3d2a51d2d9660000009810717     1
2095b303412ef45018e23b04327e76e0a0000005140057     2
20a49721c844449b7900b274fd7af13760000006846058     2
239a704332d8b4bb7b26788afc50542b30000005835117     2
208daeacdf9524c80abf8a5fb4331fd470000003383746     1
20698c898f43949ada3ff645ceacbd2d40000001318210     1
22ffd251928c0452db8ec713b8e6a2f450000001575511     1
2e2303a0e45074026910c0ed91ba8806c0000002283230     1
2ba63acd395b740f081eeebb19c8556e40000008228083     1
266ae31ad727e465eb2b5fa9b547c91700000009487967     1
28d159bf7ea4c4ca586c674638e86a0850000009070809     1
26137355ff3904b2594f59e3be6d4a9030000000967789     2
2e411bf0278ed4a86a884e701ab2f43040000004156286     1
22f7c1925330045fb9c8d8ca5e30d6ae10000006015632     2
24a626c1c3bd447f09ee96250b99bbc740000009938784     1
2f05e827191f34e34882a11d902354e710000007836004     2
21c05ee32e1c240ce894bc14c458179c20000003835418     2
25f0a6067bc9a48c0b05c039981ffd18c0000001353755     2
23549f6556e2d465f968269d7886ed7d20000006855517     1
2c9b66d49362349078d4eb8d1cf86d81d0000007682474     1
228b11fbb006b4c668928933c612526cf0000007105048     1
27ab33b79737e40818602b9ae3d538a950000005945911     2
3dd8c9a19f37c48b49a59ebabfe9656f80000000051747   0
303fc5f3a8c604a569ebb6537b3c378500000000507434   1
309866800a8154274ab1cc32d29d4dd6a0000000485735   2
3d38d029a03264ab6bd905c59cc87fd4e0000000961380   3
4               2022041447494b159ae949fbbe970894de5036a5
106ebef18db974d839671e5019a810988   001000013076567000000038280780000126937592
2850456b5c6424005b58b3c23fddd36060000009300994     1
2df0d7842bce54a60a304699a232d4b5f0000005779227     1
23baa896a702d4d3896ff7808c48b01520000003579327     1
2ca0a4643e54548c682b537d9bac177730000007391083     1
283e099909371464b99e1e201408d2c460000008909539     2
2dafedb6de15043f39389ac2a47eb2e5a0000009513360     2
24711e94e245b4967844fd2011b6151310000000382449     1
2d2381c29eee14a0e87941b31a7e220d60000002297090     1
2cdecf171330944cfacb829cff399f9410000006799916     2
259a340bbda1a4f5b96da7ef0a67f3ca40000001434232     1
23a616a675b764cecbdfef3893550af8a0000002152385     2
2cb71126bb3404640bdb1a203f70da9ce0000004551868     2
2a8c1e1b168b6425592b3b69a9d5156960000001861493     1
2d85ab84156324def88631641d3c31f3c0000005601077     2
2d1bd16259ac04a9184730ea3c01852e80000002701114     1
22c406aa0389d42f9be6a41486c57136d0000002321339     2
2b401c9603b9d414084ff21c7e27124ba0000006019068     2
26075ff77a51f49b8974a806d945dd9b70000003124271     2
2d9f3d0a84d574038bb2c3ff9429189580000007673713     1
27eb22ec13bfd469e891dd42ab406c73d0000004649048     2
23a564483994145c7b48307608418bfc40000008372040     2
231c56f74c5dc40daa2e5786092012f8c0000003129691     2
285f32c5d21c349ce95fea6297906a1640000000337416     1
29bbbc9acc1b44561b8908bc54e5812650000006732911     1
2ecf48c16218f4cf58bf8dc3b0eff784d0000007009944     1
2156b1bbd5f65425d822ca5c4e128ae770000000422382     1
2b024ec9db6eb4fdaa7adf2db1a1e1d300000006854227     1
2ccee677446b243f688cf4dfab40dc2470000008659150     1
2bd3295c414d044048248fbf2a6e22e360000009144471     2
29b64d343180e4f61bcd4e9e627b813db0000002471725     2
2af76a1b25d1f4f3a886c3fc2afa6b0c20000005873500     1
23a37f2ba2c5b4a1ab9d14effce8032680000003781421     2
2bcc893569a3f4f6593ca30b59bf7caf20000005256505     2
210ab575df6344047adbcf52ae56e17be0000009291447     2
2e865459d44344009ba7689e8e5ae82a50000003520976     1
2c006ab743b6b45bd8d2aa0a5d329a30b0000002143626     1
22e1388db1e6044ada90f35f229054b980000002380467     1
2119350aa8414435aac14b3809232584f0000004754519     2
26915907136794f32ba02ae8540be77b60000003881551     1
2a12f4295de0549af9e048d13326b75740000002960978     1
25fe3b1c2f25345cc829088acdc256d790000008025765     2
2644a5748c78a46f7aea30b1f89bcd48f0000006640436     1
2fdf45f1273b94d2b8cf88e4a4daa69070000003741247     2
24ee9644f5ae542c19ebfe730c4da8b760000008089932     1
2c0f7af63e6414167bd86077cb89eef440000002828133     2
2dca9b86044d04b688c8a7c7bc347ca720000001980956     2
2864ddfd440304e8a8edef1d1d200e93c0000005493057     1
22c22645d3581436d89d16073ce7472f00000007279335     1
2cffcdcc0b27742038280cd15254f04360000009333024     2
232c35de5770a41d1a4b992f760d9be5a0000009565694     2
2a47dfe0f7dc74a1f8c606fed600e75710000005940234     1
2612e5cabe8f54c48a63ed0be0f068eec0000002249969     1
28457a7f240a140eb93551b3db0acdc500000005033292     2
2834272c8067d478689ebbcaeab508b240000001894857     1
330db39f62fe845fdbbcd2917393818de0000000316242   0
3954d16b0e4e2464aaeca2a19c55ed0870000000781821   1
331a021c9290848c28ca321f34c7682e00000000982432   2
39d38817ad4554d9ebef4d068eb62c6620000000991172   3
34fb6653bf2fc44d2b3a83d8b349414980000000756411   4
4               2022042795d61863a99949eb872f824b29506354
1abe5d72fdfe34211b6f014069139af7a   001000010849844000000019896760000106508764
2efbbcd4053b8439390360ef4fde46d570000009224853     2
2257d7e29a8444164a72577888452b7490000008946147     2
28ebfe30524e7477d8dd6c67e5bd190ba0000007401487     1
26ef7a80c8a63438ea10edab935e783260000008745481     2
2880ebb383b8142a183ae214f05a1e69b0000009460093     2
22784f13c3787454b83fce161ea67cbb30000009055783     2
2f3ca0724c7f5435cbc3319609f7f4c3e0000006258194     1
28cdb96ba47dc4993adb99c0638adc3d20000003952487     1
2d23664b6718940a78f3666d411f55e840000004733322     1
28f5acfc358a0437693120037b36b273d0000005147813     2
2fe6c26dfafa9495fabb0b585812554260000008445379     2
221ad75fb40a34219af78399d6c7122010000003671886     2
28b39266e255e4592a4455143a7e0353e0000000652999     2
257a7d9c16360450d8484dfd62cbcecb50000000420089     2
2d8e73b58b4ef4809a9cefd1b5d3e28b50000004802593     2
2af1448bf92614ad39e2112a6b2a7195b0000005108950     2
243ba033f1c354f848e8aea2bb12f5ed00000005626680     2
24564bbc24b3848b292ddddc2f31b2c5d0000008681608     2
23f1e97f306a24c65a36f46220980e9120000003582715     2
26eb587138fc243d9be98b2d62c5af40d0000000677050     2
26edf1a06f38f422f8abdb27073850bb60000002717944     2
23c86e6dbf28f491cbb030ecdbd9d573b0000005146766     1
2f110ad7e919041d5a7a8eaceedf8f7450000005073411     2
2df1f2f1a74e643288b0cd6c461dc83ea0000009728516     2
26c827f8de34245a1ae6ce8c95f2a57b70000002355490     2
242dd921d75234f2ca224502cd3fb99a10000008147274     1
2e2bca6485c424261b7194d76952278730000000576612     1
2d2e08314482d4ea2b78049f9155e76300000009127760     2
28a476fe1cf854a58b8caae9a678ffe880000000814709     1
22a781716692a4242993e5e91052860f70000009092222     2
27af7c176803240089872fec3ade16ec00000007086774     2
263e78692a8464cefb9ef4d2960f25dfd0000001909798     1
24ba0302fb94949319653d677d9b4252f0000000876418     2
2b22c2b8de9ba45f0b68fb86332cf7d7a0000005800447     1
2b70f8b1b9601461083bf4a91f452e7a80000003260871     1
27a9cba0d255b4a839a54f0aa67a0966b0000004629481     1
2ecf737c98fcd4f069d4c747d16806b990000005710704     2
2d683d30a86e046d0afcea9607540e7590000004543380     2
296c4c4473e014f15acbf13dcb3d4b11e0000005720253     2
2bb8694839fab4503a54e913ff379da9d0000009222758     1
25b46eed7ba8749b99bb54d88c23f32770000002540009     1
2f67c15aed1514bb88456b4baacdc27310000005044081     1
2a591d05111d04fab82f8a922030098e30000003329445     1
26ac67384c1184319b0e9c031063a15f30000005931101     1
23979fce8de1243c696f506d590749eda0000006662179     2
221c50e8a681643c89e387e508a1f21ad0000004824723     1
254679cb35a734f099c037e195797e80f0000002732150     1
2d5a30f6fa8744e5885eb70eb1d567d990000005967561     1
